Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	1.498793303	3.565452391	1192.8	7481.9	HOWA-song-?
2	Spectrogram 1	1	11.848797626	13.552394982	1698.8	7734.9	HOWA-song-?
3	Spectrogram 1	1	22.204823903	23.852565608	1734.9	8313.3	HOWA-song-?
4	Spectrogram 1	1	33.708133999	35.597916859	1662.7	7734.9	HOWA-song-?
5	Spectrogram 1	1	50.547041178	52.408896213	1265.1	7915.7	HOWA-song-?
6	Spectrogram 1	1	73.647086070	75.276209225	1409.6	8168.7	HOWA-song-?
7	Spectrogram 1	1	85.406722165	87.017226769	1337.3	9469.9	HOWA-song-?
8	Spectrogram 1	1	98.795969677	100.415783557	903.6	7228.9	HOWA-song-?
9	Spectrogram 1	1	111.542638507	113.078668910	1843.4	8277.1	HOWA-song-?
10	Spectrogram 1	1	128.103712906	129.732836061	1662.7	8277.1	HOWA-song-?
11	Spectrogram 1	1	150.030292710	151.733890066	1048.2	7879.5	HOWA-song-?
12	Spectrogram 1	1	162.080060495	163.811585677	2132.5	8349.4	HOWA-song-?
