Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	0.126507195	0.720540982	929.8	16238.6	HOWA-chip
2	Spectrogram 1	1	0.572032536	1.215569138	1328.3	16437.9	HOWA-chip
3	Spectrogram 1	1	1.259571641	1.875606679	1195.5	16238.6	HOWA-chip
4	Spectrogram 1	1	2.414637338	3.190181449	1162.3	16338.3	HOWA-chip
5	Spectrogram 1	1	3.795215861	4.537758095	797.0	16471.1	HOWA-chip
6	Spectrogram 1	1	5.203295949	5.791829423	797.0	16537.5	HOWA-chip
7	Spectrogram 1	1	5.615819412	6.341860707	797.0	16570.7	HOWA-chip
8	Spectrogram 1	1	6.633153814	7.408697924	763.8	16570.7	HOWA-chip
9	Spectrogram 1	1	7.815721075	8.404254549	763.8	16205.4	HOWA-chip
10	Spectrogram 1	1	8.305248918	8.750997732	830.2	16006.2	HOWA-chip
