Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	3.015228615	3.591000914	2710.8	8891.6	HOWA-chip
2	Spectrogram 1	1	4.166773212	4.742545510	3361.4	9072.3	HOWA-chip
3	Spectrogram 1	1	5.560748250	6.136520548	3289.2	8674.7	HOWA-chip
4	Spectrogram 1	1	7.106242314	7.591103197	3397.6	8927.7	HOWA-chip
5	Spectrogram 1	1	9.015382040	9.469939118	3289.2	9108.4	HOWA-chip
6	Spectrogram 1	1	10.773002741	11.257863623	2927.7	9216.9	HOWA-chip
7	Spectrogram 1	1	12.424560123	12.848813395	3216.9	9180.7	HOWA-chip
8	Spectrogram 1	1	13.439737596	14.030661797	3397.6	8710.8	HOWA-chip
9	Spectrogram 1	1	15.364029225	15.864042010	3361.4	9036.1	HOWA-chip
10	Spectrogram 1	1	16.651940945	17.121649925	3433.7	8204.8	HOWA-chip
11	Spectrogram 1	1	17.682270321	18.288346424	3289.2	8783.1	HOWA-chip
12	Spectrogram 1	1	18.970182041	19.621713852	3180.7	8602.4	HOWA-chip
13	Spectrogram 1	1	20.939929377	21.576309286	3542.2	8927.7	HOWA-chip
14	Spectrogram 1	1	22.243934214	22.925769831	3253.0	9325.3	HOWA-chip
15	Spectrogram 1	1	23.319719298	23.940947304	3469.9	9325.3	HOWA-chip
16	Spectrogram 1	1	25.031884290	25.774327517	3036.1	9397.6	HOWA-chip
17	Spectrogram 1	1	27.410732997	27.986505295	3361.4	9072.3	HOWA-chip
18	Spectrogram 1	1	29.092594184	29.638062677	3072.3	8819.3	HOWA-chip
19	Spectrogram 1	1	30.365354002	30.956278203	3000.0	8783.1	HOWA-chip
20	Spectrogram 1	1	31.471442891	32.077518994	3216.9	8747.0	HOWA-chip
21	Spectrogram 1	1	32.622987487	33.259367396	3433.7	8855.4	HOWA-chip
22	Spectrogram 1	1	33.668468766	34.229089162	3253.0	8927.7	HOWA-chip
23	Spectrogram 1	1	35.350329953	36.198836498	3216.9	8819.3	HOWA-chip
24	Spectrogram 1	1	38.083364366	38.734896178	3289.2	8747.0	HOWA-chip
25	Spectrogram 1	1	39.962200287	40.583428294	3506.0	9000.0	HOWA-chip
26	Spectrogram 1	1	41.628909572	42.401656604	2783.1	9253.0	HOWA-chip
27	Spectrogram 1	1	42.992580805	43.538049298	3506.0	8024.1	HOWA-chip
28	Spectrogram 1	1	43.962302571	44.568378674	3397.6	8349.4	HOWA-chip
29	Spectrogram 1	1	45.022935752	45.659315661	3506.0	8638.6	HOWA-chip
30	Spectrogram 1	1	46.310847472	47.022986894	3722.9	8855.4	HOWA-chip
31	Spectrogram 1	1	47.568455387	48.053316270	2747.0	9469.9	HOWA-chip
32	Spectrogram 1	1	48.689696178	49.447291308	2891.6	8674.7	HOWA-chip
33	Spectrogram 1	1	49.613962236	50.310949755	2927.7	8927.7	HOWA-chip
34	Spectrogram 1	1	50.659443515	51.295823424	2747.0	8349.4	HOWA-chip
35	Spectrogram 1	1	51.795836209	52.507975631	3180.7	8168.7	HOWA-chip
36	Spectrogram 1	1	53.159507442	53.750431643	3325.3	8060.2	HOWA-chip
37	Spectrogram 1	1	54.189836818	54.947431948	3072.3	7734.9	HOWA-chip
38	Spectrogram 1	1	55.270133318	56.088336058	3361.4	8457.8	HOWA-chip
39	Spectrogram 1	1	56.588348844	57.194424947	3397.6	7771.1	HOWA-chip
40	Spectrogram 1	1	57.361095876	58.118691005	3253.0	7915.7	HOWA-chip
41	Spectrogram 1	1	58.527792375	58.982349453	3542.2	7879.5	HOWA-chip
42	Spectrogram 1	1	59.482362238	60.088438341	3722.9	8096.4	HOWA-chip
43	Spectrogram 1	1	60.785425861	61.118767718	3108.4	8494.0	HOWA-chip
44	Spectrogram 1	1	62.103641386	62.724869392	3036.1	8385.5	HOWA-chip
45	Spectrogram 1	1	62.861236515	63.543072132	3072.3	8421.7	HOWA-chip
46	Spectrogram 1	1	64.043084917	64.558249605	3036.1	8530.1	HOWA-chip
47	Spectrogram 1	1	64.876439560	65.527971371	3325.3	8096.4	HOWA-chip
48	Spectrogram 1	1	66.103743669	66.982554019	2674.7	8096.4	HOWA-chip
