Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	2.836512139	4.535805126	2125.3	7338.9	
2	Spectrogram 1	1	11.110761836	13.006127090	2092.1	7172.9	HOWA-song-A
3	Spectrogram 1	1	20.220774660	22.142282883	1992.5	7936.7	HOWA-song-A
4	Spectrogram 1	1	29.528578071	31.240942542	1892.8	8102.7	HOWA-song-A
5	Spectrogram 1	1	37.593684015	39.279905518	2258.1	8135.9	HOWA-song-A
6	Spectrogram 1	1	44.725711743	46.581862544	1959.3	8634.0	HOWA-song-A
7	Spectrogram 1	1	54.006865139	56.019873754	2125.3	8102.7	HOWA-song-A
8	Spectrogram 1	1	62.224538675	64.028403538	2158.5	8335.2	HOWA-song-A
9	Spectrogram 1	1	70.230496557	71.890575090	1959.3	8302.0	HOWA-song-A
10	Spectrogram 1	1	78.164887656	79.916466580	2092.1	8268.8	HOWA-song-A
11	Spectrogram 1	1	88.416557815	90.521066822	1859.6	8932.9	HOWA-song-A
12	Spectrogram 1	1	96.063376255	97.762669242	2258.1	8434.8	HOWA-song-A
13	Spectrogram 1	1	109.627835704	111.627772834	2025.7	8202.3	HOWA-song-A
14	Spectrogram 1	1	118.685302791	120.489167654	2191.7	7338.9	HOWA-song-A
15	Spectrogram 1	1	128.959489618	130.815640419	2224.9	8401.6	HOWA-song-A
16	Spectrogram 1	1	138.045090344	139.796669268	1892.8	8335.2	HOWA-song-A
17	Spectrogram 1	1	147.070112787	149.043906949	1760.0	7803.8	HOWA-song-A
18	Spectrogram 1	1	154.965936073	156.835158358	1840.2	8609.7	HOWA-song-A
19	Spectrogram 1	1	163.240082298	165.122376068	2136.0	7952.5	HOWA-song-A
