Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	0.437661363	1.004046657	2424.2	13914.1	HOWA-chip
2	Spectrogram 1	1	1.866496991	2.638840573	2490.6	13980.5	HOWA-chip
3	Spectrogram 1	1	3.887462698	4.556827136	2158.5	14279.4	HOWA-chip
4	Spectrogram 1	1	4.775657817	5.290553539	2258.1	14146.5	HOWA-chip
5	Spectrogram 1	1	6.384706947	6.860985490	1959.3	14312.6	HOWA-chip
6	Spectrogram 1	1	7.774925395	8.418545047	1826.4	14445.4	HOWA-chip
7	Spectrogram 1	1	9.602805207	10.182062893	2357.8	14445.4	HOWA-chip
8	Spectrogram 1	1	12.306007745	12.808031073	2158.5	14810.7	HOWA-chip
9	Spectrogram 1	1	14.803251994	15.266658144	1892.8	14677.9	HOWA-chip
12	Spectrogram 1	1	16.749645795	17.238796730	1133.0	14729.1	HOWA-chip
13	Spectrogram 1	1	19.916254482	20.263809094	1220.2	15295.6	HOWA-chip
