Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	2.026400099	3.406610693	2132.9	8474.1	HOWA-song-A
2	Spectrogram 1	1	8.669886919	9.968539614	2507.6	7609.4	HOWA-song-A
3	Spectrogram 1	1	20.977640998	22.257472640	2731.4	7653.5	HOWA-song-A
4	Spectrogram 1	1	27.100757087	28.261388723	2503.7	8251.0	HOWA-song-A
5	Spectrogram 1	1	32.429659151	33.571469733	2475.3	7938.0	HOWA-song-A
6	Spectrogram 1	1	37.944409455	39.192872674	2475.3	7596.6	HOWA-song-A
7	Spectrogram 1	1	44.379755720	45.628218939	2845.2	7710.4	HOWA-song-A
8	Spectrogram 1	1	49.984347430	51.251631702	2416.0	8064.6	HOWA-song-A
9	Spectrogram 1	1	6.102949381	7.134970484	2381.9	5784.7	HOWA-song-B
10	Spectrogram 1	1	15.217742725	16.384648045	2330.9	5699.7	HOWA-song-B
11	Spectrogram 1	1	25.515821741	26.663906008	1922.6	5920.8	HOWA-song-B
12	Spectrogram 1	1	33.455998233	34.331177223	2416.0	5410.4	HOWA-song-B
13	Spectrogram 1	1	47.875139328	48.960486750	2433.0	5291.3	HOWA-song-B
