Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	0.420131911	0.997813288	3973.0	7681.1	HOWA-chip
2	Spectrogram 1	1	1.601752910	2.192563409	3608.8	7681.1	HOWA-chip
3	Spectrogram 1	1	2.730857420	3.216634942	3675.0	7449.3	HOWA-chip
4	Spectrogram 1	1	3.768058075	4.385126819	3443.2	7979.1	HOWA-chip
5	Spectrogram 1	1	5.251648885	5.763684651	3608.8	7747.3	HOWA-chip
6	Spectrogram 1	1	6.249462173	6.814014428	3476.4	7614.9	HOWA-chip
7	Spectrogram 1	1	7.181629850	7.877473327	3410.1	7449.3	HOWA-chip
8	Spectrogram 1	1	8.323863482	9.059094326	3277.7	7350.0	HOWA-chip
9	Spectrogram 1	1	9.662751208	10.437369419	3906.8	7548.6	HOWA-chip
10	Spectrogram 1	1	11.054438163	11.697765151	3708.1	7416.2	HOWA-chip
11	Spectrogram 1	1	12.393608628	13.076322983	3840.5	7250.7	HOWA-chip
12	Spectrogram 1	1	13.286388939	14.126652760	3476.4	7449.3	HOWA-chip
13	Spectrogram 1	1	14.468009938	15.203240782	3244.6	7482.4	HOWA-chip
14	Spectrogram 1	1	15.518339715	16.082891970	3774.3	7515.5	HOWA-chip
15	Spectrogram 1	1	16.962543158	17.802806980	3608.8	7581.8	HOWA-chip
16	Spectrogram 1	1	17.934098202	18.629941679	3542.6	7548.6	HOWA-chip
17	Spectrogram 1	1	19.141977445	20.034757756	3542.6	7449.3	HOWA-chip
18	Spectrogram 1	1	20.218565467	20.953796310	3608.8	7350.0	HOWA-chip
19	Spectrogram 1	1	21.485862755	22.102931499	3879.5	7327.9	HOWA-chip
20	Spectrogram 1	1	22.667483754	23.350198109	3780.0	7427.4	HOWA-chip
21	Spectrogram 1	1	23.980395975	24.649981208	3348.9	7725.8	HOWA-chip
22	Spectrogram 1	1	25.437728541	26.146701140	3514.7	7659.5	HOWA-chip
23	Spectrogram 1	1	26.776899007	27.407096873	3481.6	7957.9	HOWA-chip
24	Spectrogram 1	1	28.326135428	28.930075049	3581.1	7792.1	HOWA-chip
25	Spectrogram 1	1	29.481498182	30.046050437	3780.0	7327.9	HOWA-chip
26	Spectrogram 1	1	30.439924104	31.280187925	3382.1	7758.9	HOWA-chip
27	Spectrogram 1	1	31.569028614	32.291130335	3581.1	7891.6	HOWA-chip
28	Spectrogram 1	1	33.112034830	33.952298651	3083.7	7957.9	HOWA-chip
29	Spectrogram 1	1	34.424947051	35.173307017	3448.4	7891.6	HOWA-chip
30	Spectrogram 1	1	35.462147706	36.092345572	4012.1	8090.5	HOWA-chip
31	Spectrogram 1	1	36.341798894	36.998255004	3813.2	7858.4	HOWA-chip
32	Spectrogram 1	1	37.838518826	38.521233181	3780.0	8256.3	HOWA-chip
33	Spectrogram 1	1	40.241148191	41.028895523	3813.2	8090.5	HOWA-chip
34	Spectrogram 1	1	42.144870911	42.893230878	3481.6	7957.9	HOWA-chip
35	Spectrogram 1	1	43.917302410	44.783824476	3050.5	7626.3	HOWA-chip
36	Spectrogram 1	1	45.663475664	46.661288952	2851.6	7991.1	HOWA-chip
37	Spectrogram 1	1	47.934813807	48.683173773	2354.2	8886.3	HOWA-chip
38	Spectrogram 1	1	48.840723239	49.825407405	1989.5	8720.5	HOWA-chip
39	Spectrogram 1	1	50.691929671	51.505935249	3448.4	8223.2	HOWA-chip
40	Spectrogram 1	1	52.083616626	52.792589225	3315.8	8057.4	HOWA-chip
41	Spectrogram 1	1	53.383399725	54.013597591	3183.2	8057.4	HOWA-chip
42	Spectrogram 1	1	54.827603168	55.589092256	3680.5	8355.8	HOWA-chip
43	Spectrogram 1	1	56.363710467	57.190845166	3315.8	7758.9	HOWA-chip
44	Spectrogram 1	1	57.912946888	58.713823343	3415.3	7560.0	HOWA-chip
45	Spectrogram 1	1	58.871372809	59.344021209	3713.7	7394.2	HOWA-chip
46	Spectrogram 1	1	60.026735564	60.683191675	3614.2	7725.8	HOWA-chip
47	Spectrogram 1	1	61.746650574	62.534397906	3680.5	7825.3	HOWA-chip
48	Spectrogram 1	1	62.902013328	63.610985928	3448.4	8123.7	HOWA-chip
49	Spectrogram 1	1	64.306829405	65.238997082	3481.6	7758.9	HOWA-chip
50	Spectrogram 1	1	65.357159182	65.882324070	3547.9	7526.8	HOWA-chip
51	Spectrogram 1	1	66.630684037	67.195236292	3647.4	7593.2	HOWA-chip
52	Spectrogram 1	1	67.825434158	68.600052368	3050.5	7361.1	HOWA-chip
53	Spectrogram 1	1	68.915151301	69.558478290	3249.5	7560.0	HOWA-chip
54	Spectrogram 1	1	70.123030545	70.608808067	3249.5	7659.5	HOWA-chip
55	Spectrogram 1	1	71.052330821	71.735045176	3249.5	7692.6	HOWA-chip
56	Spectrogram 1	1	72.063273231	72.969182664	2851.6	7858.4	HOWA-chip
57	Spectrogram 1	1	73.441831063	74.150803663	3249.5	8057.4	HOWA-chip
58	Spectrogram 1	1	75.214262562	76.002009895	3150.0	8156.8	HOWA-chip
59	Spectrogram 1	1	76.999823183	77.735054027	3282.6	8190.0	HOWA-chip
60	Spectrogram 1	1	78.444026626	79.047966248	3017.4	8256.3	HOWA-chip
