Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	1.969034364	3.588018175	3984.9	8600.8	HOWA-chip
2	Spectrogram 1	1	4.944464070	6.388422604	3951.7	8235.5	HOWA-chip
3	Spectrogram 1	1	10.238978694	11.726693547	4483.1	8667.2	HOWA-chip
4	Spectrogram 1	1	16.846182894	17.896334555	4051.4	8302.0	HOWA-chip
5	Spectrogram 1	1	31.417037189	32.817239404	4151.0	8766.9	HOWA-chip
6	Spectrogram 1	1	38.067997708	39.205662008	4483.1	8335.2	HOWA-chip
7	Spectrogram 1	1	41.962310117	43.056218098	4117.8	8169.1	HOWA-chip
8	Spectrogram 1	1	46.162916761	47.650631614	4018.1	8235.5	HOWA-chip
9	Spectrogram 1	1	53.311800155	54.755758689	4142.7	8619.5	HOWA-chip
10	Spectrogram 1	1	55.630885073	56.856062011	3808.6	8285.5	HOWA-chip
