Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	3.763676152	5.781464508	2126.1	7027.0	
2	Spectrogram 1	1	18.984768054	21.360320302	2018.0	8036.0	HOWA-song-B
3	Spectrogram 1	1	27.012989808	29.202504832	1945.9	7675.7	HOWA-song-B
4	Spectrogram 1	1	33.309634322	35.513459901	1945.9	7279.3	HOWA-song-B
5	Spectrogram 1	1	40.097572643	42.129671554	1405.4	7855.9	HOWA-song-B
6	Spectrogram 1	1	46.751981049	48.698216626	1477.5	7819.8	HOWA-song-B
7	Spectrogram 1	1	52.794414976	55.026861667	2234.2	8036.0	HOWA-song-B
8	Spectrogram 1	1	60.593667839	62.353866192	1441.4	8252.3	HOWA-song-B
9	Spectrogram 1	1	67.147173707	69.164962062	2018.0	7783.8	HOWA-song-B
10	Spectrogram 1	1	75.075221571	76.649382699	2414.4	7423.4	HOWA-song-B
11	Spectrogram 1	1	87.652972110	89.570586576	1982.0	7243.2	HOWA-song-B
12	Spectrogram 1	1	95.824299422	97.641739997	2522.5	7027.0	HOWA-song-B
13	Spectrogram 1	1	103.708626250	105.340029601	1657.7	8792.8	HOWA-song-B
14	Spectrogram 1	1	111.528338548	114.018375242	2122.9	7556.2	HOWA-song-B
15	Spectrogram 1	1	122.447292557	124.937329251	1151.4	8491.8	HOWA-song-B
