Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	1.126131472	1.890788644	3486.8	9895.9	HOWA-chip
2	Spectrogram 1	1	2.905697254	3.739868714	2889.1	10261.2	HOWA-chip
3	Spectrogram 1	1	6.033840230	7.118263129	3320.8	11589.5	HOWA-chip
4	Spectrogram 1	1	7.632668863	8.411228892	3420.4	11722.4	HOWA-chip
5	Spectrogram 1	1	10.677394693	11.831331880	3254.4	11689.2	HOWA-chip
6	Spectrogram 1	1	12.484766191	13.291131936	3188.0	11788.8	HOWA-chip
7	Spectrogram 1	1	14.083594823	14.945571999	3586.4	11855.2	HOWA-chip
8	Spectrogram 1	1	16.210732047	16.961486362	3420.4	11954.8	HOWA-chip
9	Spectrogram 1	1	17.948589256	18.782760717	3752.5	11921.6	HOWA-chip
10	Spectrogram 1	1	19.505709316	20.270366488	3354.0	12154.1	HOWA-chip
11	Spectrogram 1	1	20.951606514	21.813583690	3387.2	12154.1	HOWA-chip
12	Spectrogram 1	1	23.141237806	24.128340701	3752.5	11689.2	HOWA-chip
13	Spectrogram 1	1	24.879095016	25.546432184	3686.1	12087.7	HOWA-chip
14	Spectrogram 1	1	26.505729363	27.200872247	3486.8	12286.9	HOWA-chip
15	Spectrogram 1	1	28.660672303	29.453135190	3719.3	11921.6	HOWA-chip
16	Spectrogram 1	1	30.106569501	30.746100954	3818.9	12187.3	HOWA-chip
17	Spectrogram 1	1	32.219803867	32.998363897	3619.7	11855.2	HOWA-chip
18	Spectrogram 1	1	33.832535357	34.791832537	2988.7	12054.4	HOWA-chip
19	Spectrogram 1	1	35.282531942	36.241829121	3320.8	11556.3	HOWA-chip
20	Spectrogram 1	1	37.298446304	38.132617765	3154.7	11722.4	HOWA-chip
21	Spectrogram 1	1	39.369972098	40.370977850	2689.8	10991.8	HOWA-chip
22	Spectrogram 1	1	41.886389337	42.651046509	2855.9	10825.8	HOWA-chip
23	Spectrogram 1	1	43.957915130	44.764280875	3088.3	11224.2	HOWA-chip
24	Spectrogram 1	1	45.848703774	46.710680949	3121.5	11323.9	HOWA-chip
25	Spectrogram 1	1	47.836812421	48.559761020	3121.5	11556.3	HOWA-chip
26	Spectrogram 1	1	50.089075364	50.978858255	2955.5	11523.1	HOWA-chip
27	Spectrogram 1	1	52.323694908	53.088352080	3320.8	11489.9	HOWA-chip
28	Spectrogram 1	1	56.188689342	56.953346514	3354.0	11589.5	HOWA-chip
29	Spectrogram 1	1	58.440952285	59.233415172	3420.4	11954.8	HOWA-chip
30	Spectrogram 1	1	61.791540984	62.403266722	3121.5	11456.7	HOWA-chip
