Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	0.321467315	0.524089138	1295.1	9298.2	HOWA-chip
2	Spectrogram 1	1	3.413398403	3.639399667	1261.9	8833.3	HOWA-chip
3	Spectrogram 1	1	5.809791117	6.160482734	963.0	9032.5	HOWA-chip
4	Spectrogram 1	1	9.328007843	9.631940578	1859.6	9829.5	HOWA-chip
5	Spectrogram 1	1	12.075092174	12.417990644	2357.8	9763.1	HOWA-chip
6	Spectrogram 1	1	14.382812043	14.659468763	2125.3	10427.3	HOWA-chip
7	Spectrogram 1	1	16.054442083	16.373961111	1760.0	10659.7	HOWA-chip
8	Spectrogram 1	1	19.903058155	20.226473757	2324.5	10825.8	HOWA-chip
9	Spectrogram 1	1	23.059282706	23.386594881	1594.0	11722.4	HOWA-chip
10	Spectrogram 1	1	26.300638340	26.663019677	1627.2	11622.7	HOWA-chip
11	Spectrogram 1	1	28.825617981	29.160723303	1959.3	11489.9	HOWA-chip
12	Spectrogram 1	1	31.345837713	31.665356741	2822.7	11390.3	HOWA-chip
13	Spectrogram 1	1	33.465573707	33.800679030	2922.3	11822.0	HOWA-chip
14	Spectrogram 1	1	35.650146240	35.919009813	3320.8	11025.0	HOWA-chip
15	Spectrogram 1	1	38.066021822	38.362161410	2258.1	11091.4	HOWA-chip
16	Spectrogram 1	1	40.469610737	40.859268089	1793.2	10294.4	HOWA-chip
17	Spectrogram 1	1	43.555696964	43.875215993	2689.8	11157.8	HOWA-chip
18	Spectrogram 1	1	46.025494285	46.368392755	2424.2	10128.4	HOWA-chip
19	Spectrogram 1	1	48.766069045	49.124553808	2357.8	10792.5	HOWA-chip
20	Spectrogram 1	1	50.574079157	51.010495392	2291.3	11224.2	HOWA-chip
21	Spectrogram 1	1	53.423320560	53.692184132	2523.8	10626.5	HOWA-chip
22	Spectrogram 1	1	58.034623733	58.346349614	2191.7	10692.9	HOWA-chip
23	Spectrogram 1	1	60.676500579	60.968743593	1859.6	10859.0	HOWA-chip
24	Spectrogram 1	1	63.089832004	63.417144180	2889.1	11655.9	HOWA-chip
25	Spectrogram 1	1	65.888318040	66.180561053	2391.0	10825.8	HOWA-chip
26	Spectrogram 1	1	68.061971223	68.459421722	2391.8	11008.6	HOWA-chip
