Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	2.502619004	4.131035479	2096.4	7698.8	
2	Spectrogram 1	1	1.662698927	5.562327855	4337.3	10012.0	?
3	Spectrogram 1	1	9.621260300	12.758104668	3759.0	8819.3	?
4	Spectrogram 1	1	12.672398538	14.215108883	1626.5	7265.1	HOWA-song-A
5	Spectrogram 1	1	16.672748945	19.886728831	3722.9	9433.7	?
6	Spectrogram 1	1	22.886443390	24.463436187	1156.6	7915.7	HOWA-song-A
7	Spectrogram 1	1	26.758234290	28.360938926	5494.0	10012.0	?
8	Spectrogram 1	1	30.460739117	33.280470804	4807.2	9722.9	?
9	Spectrogram 1	1	32.569109922	33.846131263	2024.1	7120.5	HOWA-song-A
10	Spectrogram 1	1	38.141359455	41.698163862	3939.8	10120.5	?
11	Spectrogram 1	1	41.980994092	43.532275050	1734.9	7662.7	HOWA-song-A
12	Spectrogram 1	1	50.003108170	53.328506024	4218.2	9600.0	?
13	Spectrogram 1	1	53.414212155	54.965493113	1527.3	7236.4	HOWA-song-A
14	Spectrogram 1	1	57.682460792	61.256406425	3745.5	9672.7	?
15	Spectrogram 1	1	62.113467727	63.596183781	1854.5	7163.6	HOWA-song-A
16	Spectrogram 1	1	66.939485497	70.384871934	4690.9	10872.7	?
17	Spectrogram 1	1	70.770549520	72.938914616	1236.4	8145.5	HOWA-song-A
18	Spectrogram 1	1	75.968121375	78.110774632	5454.5	9854.5	?
19	Spectrogram 1	1	80.261998502	83.587396357	4727.3	9709.1	?
20	Spectrogram 1	1	80.287710341	81.847561912	1890.9	8109.1	HOWA-song-A
21	Spectrogram 1	1	88.603886824	90.258015138	1200.0	7963.6	HOWA-song-A
22	Spectrogram 1	1	90.043749813	93.386288893	4363.6	9600.0	?
23	Spectrogram 1	1	98.055886653	100.995606922	4436.4	10290.9	?
24	Spectrogram 1	1	101.364143282	103.052554048	1600.0	7527.3	HOWA-song-A
25	Spectrogram 1	1	105.801592139	109.015572024	4472.7	9963.6	?
26	Spectrogram 1	1	109.461243902	111.089660377	2218.2	7381.8	HOWA-song-A
27	Spectrogram 1	1	113.593549599	117.518890365	3636.4	9490.9	?
28	Spectrogram 1	1	118.247392473	119.558696266	2000.0	7127.3	HOWA-song-A
29	Spectrogram 1	1	126.367187207	129.092642149	4436.4	10290.9	?
30	Spectrogram 1	1	128.826953146	130.309669199	1854.5	7127.3	HOWA-song-A
31	Spectrogram 1	1	133.754479985	137.551261556	4145.5	9927.3	?
32	Spectrogram 1	1	140.456699372	141.999409717	1709.1	8727.3	HOWA-song-A
33	Spectrogram 1	1	142.050833395	145.958484530	3854.5	9781.8	?
34	Spectrogram 1	1	149.883825297	151.263693994	1781.8	8109.1	HOWA-song-A
