Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	0.160199459	1.064855230	4235.2	11370.0	HOWA-chip
2	Spectrogram 1	1	1.950664005	2.855319775	4367.6	11221.0	HOWA-chip
3	Spectrogram 1	1	3.665740569	4.259420919	4169.0	11287.2	HOWA-chip
4	Spectrogram 1	1	4.768289789	5.286582158	4135.8	11535.5	HOWA-chip
5	Spectrogram 1	1	5.842568517	6.530483842	4202.1	11452.7	HOWA-chip
6	Spectrogram 1	1	7.755538531	8.386912871	4152.4	11519.0	HOWA-chip
7	Spectrogram 1	1	8.707311789	9.357533124	4251.7	11452.7	HOWA-chip
8	Spectrogram 1	1	10.469505842	11.279926636	4235.2	11154.8	HOWA-chip
9	Spectrogram 1	1	11.713407526	12.373052359	4102.7	10972.7	HOWA-chip
10	Spectrogram 1	1	12.768839258	13.522719067	4152.4	10691.2	HOWA-chip
11	Spectrogram 1	1	14.917136514	15.840639280	4152.4	11038.9	HOWA-chip
12	Spectrogram 1	1	16.462590122	17.433210375	4135.8	11320.3	HOWA-chip
13	Spectrogram 1	1	19.723120294	20.637199562	4135.8	11552.1	HOWA-chip
14	Spectrogram 1	1	22.498696385	23.761445065	4119.3	12181.1	HOWA-chip
15	Spectrogram 1	1	24.534171869	25.844038036	3804.8	11883.1	HOWA-chip
16	Spectrogram 1	1	26.851947012	28.048731208	3953.7	11684.5	HOWA-chip
17	Spectrogram 1	1	29.047621954	29.867466246	3722.0	11204.4	HOWA-chip
