Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	0.369051768	2.291425906	1456.8	8939.2	HOWA-song-B
2	Spectrogram 1	1	6.031517709	7.650938902	1655.4	6621.6	HOWA-song-B
3	Spectrogram 1	1	10.970658459	12.738802006	1820.9	7780.4	HOWA-song-B
4	Spectrogram 1	1	16.998057118	18.573412429	1721.6	7681.1	HOWA-song-B
5	Spectrogram 1	1	22.015308058	23.711844546	1390.5	8839.9	HOWA-song-B
6	Spectrogram 1	1	27.485892900	29.006165857	1125.7	7416.2	HOWA-song-B
7	Spectrogram 1	1	32.066308653	33.564548668	2019.6	8210.8	HOWA-song-B
8	Spectrogram 1	1	37.231095602	38.894582677	1688.5	8508.8	HOWA-song-B
9	Spectrogram 1	1	43.683813124	45.226119022	1489.9	7979.1	HOWA-song-B
10	Spectrogram 1	1	49.226477286	50.394223180	1754.7	6787.2	HOWA-song-B
11	Spectrogram 1	1	55.463443709	57.110406079	1423.6	8541.9	HOWA-song-B
12	Spectrogram 1	1	61.328706468	62.832454719	1390.5	7018.9	HOWA-song-B
13	Spectrogram 1	1	66.935810850	68.351427335	1489.9	9435.8	HOWA-song-B
14	Spectrogram 1	1	75.018485594	76.478167961	1225.0	7879.7	HOWA-song-B
15	Spectrogram 1	1	80.183480195	81.687228446	1191.9	7581.8	HOWA-song-B
16	Spectrogram 1	1	85.862910696	87.129804827	827.7	8575.0	HOWA-song-B
17	Spectrogram 1	1	92.802501601	94.405398088	1158.8	7416.2	HOWA-song-B
