Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	2.239124269	4.426501987	2400.000	15047.619	HOWA-song-B
2	Spectrogram 1	1	7.163412792	9.210372942	2212.500	18412.698	HOWA-song-B
3	Spectrogram 1	1	12.078780370	14.132318630	2587.500	21523.810	HOWA-song-B
4	Spectrogram 1	1	17.252852363	19.541585609	2287.500	19746.032	HOWA-song-B
6	Spectrogram 1	1	24.621443664	27.176287423	2137.500	20571.429	HOWA-song-B
7	Spectrogram 1	1	32.480680680	34.843476186	2437.500	20380.952	HOWA-song-B
8	Spectrogram 1	1	37.546223666	39.489273121	2362.500	20126.984	HOWA-song-B
9	Spectrogram 1	1	41.491398188	43.696480515	2175.000	18793.651	HOWA-song-B
10	Spectrogram 1	1	46.604158286	48.301660883	2287.500	17523.810	HOWA-song-B
11	Spectrogram 1	1	50.831253847	53.304826432	1987.500	20253.968	HOWA-song-B
12	Spectrogram 1	1	55.970294653	57.983113034	2175.000	19809.524	HOWA-song-B
13	Spectrogram 1	1	62.693466495	64.821856061	1950.000	21015.873	HOWA-song-B
14	Spectrogram 1	1	66.342446676	67.908224419	2100.000	21269.841	HOWA-song-B
15	Spectrogram 1	1	69.423223491	70.978348733	2025.000	18158.730	HOWA-song-B
16	Spectrogram 1	1	73.657129831	75.331753165	1950.000	20317.460	HOWA-song-B
17	Spectrogram 1	1	77.377219976	79.945061658	1350.000	19428.571	HOWA-song-B
18	Spectrogram 1	1	83.215086273	84.972594462	1487.200	16444.444	HOWA-song-B
19	Spectrogram 1	1	87.650176730	89.342242295	1384.600	22476.190	HOWA-song-B
20	Spectrogram 1	1	91.953985459	94.134235272	1794.900	18666.667	HOWA-song-B
21	Spectrogram 1	1	96.720815872	98.861254367	1282.100	18603.175	HOWA-song-B
22	Spectrogram 1	1	100.424592005	102.711092792	1076.900	19555.556	HOWA-song-B
23	Spectrogram 1	1	105.070120378	107.194448933	1692.300	21714.286	HOWA-song-B
24	Spectrogram 1	1	109.978354439	112.051420382	1897.400	18603.175	HOWA-song-B
25	Spectrogram 1	1	114.402926498	116.583508655	1487.200	22730.159	HOWA-song-B
26	Spectrogram 1	1	119.082804279	120.660765055	2000.000	17396.825	HOWA-song-B
27	Spectrogram 1	1	123.225974222	125.469002076	1897.400	21015.873	HOWA-song-B
28	Spectrogram 1	1	128.099387562	129.984848208	1692.300	18476.190	HOWA-song-B
29	Spectrogram 1	1	135.899385671	137.343400136	1794.900	10793.651	HOWA-song-B
30	Spectrogram 1	1	142.602251940	144.247118820	1692.300	12063.492	HOWA-song-B
31	Spectrogram 1	1	147.198318542	148.901036608	2102.600	9714.286	HOWA-song-B
32	Spectrogram 1	1	152.312285846	154.229083036	1692.300	14412.698	HOWA-song-B
33	Spectrogram 1	1	157.354974939	159.264737514	2102.600	11301.587	HOWA-song-B
34	Spectrogram 1	1	163.195796160	165.128837394	2000.000	11746.032	HOWA-song-B
35	Spectrogram 1	1	167.919727955	169.327925061	2000.000	8444.444	HOWA-song-B
36	Spectrogram 1	1	173.031568299	174.779957434	2205.100	11682.540	HOWA-song-B
37	Spectrogram 1	1	180.032752497	181.982037776	1897.400	11873.016	HOWA-song-B
38	Spectrogram 1	1	184.646061896	186.400418647	2051.300	10476.190	HOWA-song-B
40	Spectrogram 1	1	190.948751613	192.718976334	1384.600	9968.254	HOWA-song-B
41	Spectrogram 1	1	209.109596025	210.868037109	1523.810	8871.800	HOWA-song-B
42	Spectrogram 1	1	219.091562960	221.155976297	1589.700	9015.873	HOWA-song-B
43	Spectrogram 1	1	239.770235278	242.612942976	1948.700	11555.556	HOWA-song-B
44	Spectrogram 1	1	247.567377571	249.325818655	2000.000	7641.000	HOWA-song-B
45	Spectrogram 1	1	254.048751800	255.343374702	1794.900	6222.222	HOWA-song-B
46	Spectrogram 1	1	258.400607135	261.210663488	2000.000	11936.508	HOWA-song-B
47	Spectrogram 1	1	269.012152866	270.675884644	1487.200	14730.159	HOWA-song-B
48	Spectrogram 1	1	278.414814553	280.299123655	1897.400	8359.000	HOWA-song-B
