Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	0.384595664	0.945464340	3586.4	10626.5	HOWA-chip
2	Spectrogram 1	1	2.932541934	3.573534707	3553.2	10394.1	HOWA-chip
3	Spectrogram 1	1	6.858622666	7.659863632	3188.0	11357.1	HOWA-chip
4	Spectrogram 1	1	8.989923635	9.695015685	2557.0	11058.2	HOWA-chip
5	Spectrogram 1	1	11.169299062	11.970540027	2457.4	11855.2	HOWA-chip
6	Spectrogram 1	1	13.268550392	13.941592803	2789.5	9895.9	HOWA-chip
7	Spectrogram 1	1	14.935131601	15.752397386	3121.5	9663.5	HOWA-chip
8	Spectrogram 1	1	16.457489435	17.098482208	3088.3	9530.6	HOWA-chip
9	Spectrogram 1	1	18.941336429	19.630403659	3387.2	9265.0	HOWA-chip
10	Spectrogram 1	1	20.992513301	21.745679809	3287.6	9464.2	HOWA-chip
11	Spectrogram 1	1	24.233756939	24.906799350	3420.4	9331.4	HOWA-chip
