Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	2.504028404	4.331727592	1590.4	7301.2	HOWA-song-B
2	Spectrogram 1	1	13.361105545	15.108289351	1662.7	7734.9	HOWA-song-B
3	Spectrogram 1	1	23.758871526	25.489952256	2457.8	7807.2	HOWA-song-B
4	Spectrogram 1	1	34.828023274	36.406124776	1156.6	7626.5	HOWA-song-A
5	Spectrogram 1	1	44.604827841	46.094362421	1590.4	6650.6	HOWA-song-A
6	Spectrogram 1	1	54.675898587	56.205690859	1228.9	6578.3	HOWA-song-A
7	Spectrogram 1	1	65.199067910	66.905994025	1048.2	6614.5	HOWA-song-A
8	Spectrogram 1	1	75.365082643	77.176678755	1734.9	6216.9	HOWA-song-A
9	Spectrogram 1	1	85.955712064	87.364731262	1734.9	6469.9	HOWA-song-A
10	Spectrogram 1	1	96.849784794	98.291010145	1590.4	6253.0	HOWA-song-A
