Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	1.025096340	2.116327927	3686.1	8434.8	HOWA-chip
2	Spectrogram 1	1	6.844998140	7.704756361	3785.7	7936.7	HOWA-chip
3	Spectrogram 1	1	9.953354783	11.209924490	3486.8	8335.2	HOWA-chip
4	Spectrogram 1	1	12.995576179	14.219078262	3387.2	8268.8	HOWA-chip
5	Spectrogram 1	1	15.178039354	16.070865198	3652.9	8003.1	HOWA-chip
6	Spectrogram 1	1	17.129029162	18.253328373	3287.6	7837.0	HOWA-chip
7	Spectrogram 1	1	20.270453429	21.527023136	3619.7	7704.2	HOWA-chip
8	Spectrogram 1	1	27.082383945	28.206683157	3553.2	7737.4	HOWA-chip
9	Spectrogram 1	1	29.893131974	30.653687323	3852.1	7837.0	HOWA-chip
10	Spectrogram 1	1	33.166826737	34.390328820	3586.4	8003.1	HOWA-chip
11	Spectrogram 1	1	35.250087040	36.242115756	3752.5	7969.9	HOWA-chip
12	Spectrogram 1	1	37.399482591	38.259240812	3354.0	7969.9	HOWA-chip
13	Spectrogram 1	1	40.042290899	40.902049119	3586.4	8036.3	HOWA-chip
14	Spectrogram 1	1	41.431131101	42.522362689	3652.9	7803.8	HOWA-chip
15	Spectrogram 1	1	44.208811506	45.035502102	3486.8	7969.9	HOWA-chip
16	Spectrogram 1	1	46.721950919	47.680912012	3254.4	7903.5	HOWA-chip
17	Spectrogram 1	1	48.408399737	49.532698948	3984.9	7870.3	HOWA-chip
18	Spectrogram 1	1	50.203451394	52.610589569	1461.1	4416.6	?
19	Spectrogram 1	1	44.350481970	46.169201283	1660.4	4449.8	?
20	Spectrogram 1	1	35.356088279	37.472416206	1726.8	4317.0	?
21	Spectrogram 1	1	30.164471332	32.578407874	1892.8	4483.1	?
