Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	0.545434637	1.061118294	3520.0	11257.5	
2	Spectrogram 1	1	1.705722866	2.370161424	3586.4	12154.1	HOWA-chip
3	Spectrogram 1	1	3.500698672	3.956880369	3254.4	12253.7	HOWA-chip
4	Spectrogram 1	1	5.087417617	5.632852254	3387.2	12851.4	HOWA-chip
5	Spectrogram 1	1	6.138618918	6.664219568	3652.9	12951.1	HOWA-chip
6	Spectrogram 1	1	7.576582962	8.112100606	3287.6	12619.0	HOWA-chip
7	Spectrogram 1	1	8.647618249	9.202969880	3354.0	13150.3	HOWA-chip
8	Spectrogram 1	1	10.432677062	10.898775752	3287.6	12818.2	HOWA-chip
9	Spectrogram 1	1	11.672301238	12.168150908	3453.6	12286.9	HOWA-chip
10	Spectrogram 1	1	12.683834565	13.179684236	3320.8	12585.8	HOWA-chip
11	Spectrogram 1	1	14.902006772	15.387939449	3486.8	12220.5	HOWA-chip
