Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	1.064204440	3.098909783	1095.9	7770.6	HOWA-song-B
2	Spectrogram 1	1	4.591473242	6.853744315	1361.5	8135.9	HOWA-song-B
3	Spectrogram 1	1	8.326228445	10.367626899	1095.9	7936.7	HOWA-song-B
4	Spectrogram 1	1	12.145471876	14.307346304	1560.8	8534.4	HOWA-song-B
5	Spectrogram 1	1	15.980623724	18.102339494	1295.1	8468.0	HOWA-song-B
6	Spectrogram 1	1	19.712856729	21.961741582	1494.4	8700.5	HOWA-song-B
7	Spectrogram 1	1	25.582713921	27.550488167	664.2	7505.0	HOWA-song-B
8	Spectrogram 1	1	28.696638888	30.999068619	1726.8	8800.1	HOWA-song-B
9	Spectrogram 1	1	32.136897265	34.352316570	996.2	8733.7	HOWA-song-B
10	Spectrogram 1	1	35.618767740	37.807414607	1560.8	8833.3	HOWA-song-B
11	Spectrogram 1	1	39.942516595	42.178015229	1560.8	9364.6	HOWA-song-B
12	Spectrogram 1	1	44.001676626	46.150164834	1390.5	8177.7	HOWA-song-B
13	Spectrogram 1	1	47.053734642	49.289233276	1291.2	9700.7	HOWA-song-B
14	Spectrogram 1	1	51.204630129	53.520446079	1390.5	7979.1	HOWA-song-B
15	Spectrogram 1	1	54.450788325	56.726445617	1523.0	8442.6	HOWA-song-B
16	Spectrogram 1	1	58.299101619	60.280262085	1258.1	8111.5	HOWA-song-B
17	Spectrogram 1	1	61.830474288	64.065972922	1390.5	8409.5	HOWA-song-B
18	Spectrogram 1	1	65.606669974	67.714999524	1092.6	8343.2	HOWA-song-B
19	Spectrogram 1	1	69.154018106	71.389516740	1059.5	8608.1	HOWA-song-B
20	Spectrogram 1	1	73.253733185	75.509311148	1191.9	8972.3	HOWA-song-B
21	Spectrogram 1	1	76.914864181	78.829093550	1158.8	8111.5	HOWA-song-B
22	Spectrogram 1	1	80.609590907	82.825010213	1312.5	8957.8	HOWA-song-B
23	Spectrogram 1	1	84.913260434	86.881034680	426.6	9023.4	HOWA-song-B
24	Spectrogram 1	1	88.032661776	90.274853520	1509.4	9056.2	HOWA-song-B
25	Spectrogram 1	1	91.948130941	94.083232930	754.7	7776.6	HOWA-song-B
26	Spectrogram 1	1	95.390132623	97.605551928	1082.8	8695.3	HOWA-song-B
27	Spectrogram 1	1	99.376171362	101.377411158	1312.5	7710.9	HOWA-song-B
28	Spectrogram 1	1	103.124312785	105.366504529	885.9	8564.1	HOWA-song-B
29	Spectrogram 1	1	106.678484208	108.760041319	984.4	8334.4	HOWA-song-B
30	Spectrogram 1	1	110.299456546	112.514875851	820.3	9121.9	HOWA-song-B
31	Spectrogram 1	1	113.842896084	116.198870692	590.6	8203.1	HOWA-song-B
32	Spectrogram 1	1	117.417016655	119.807401050	1148.4	8892.2	HOWA-song-B
