Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	2.149234034	2.927404977	2204.8	11313.3	HOWA-chip
2	Spectrogram 1	1	5.558363880	6.225367546	2204.8	10879.5	HOWA-chip
3	Spectrogram 1	1	7.658190235	8.461065018	2060.2	10951.8	HOWA-chip
4	Spectrogram 1	1	9.745664670	10.486779854	2602.4	11168.7	HOWA-chip
5	Spectrogram 1	1	12.216048617	12.981867641	3397.6	9939.8	HOWA-chip
6	Spectrogram 1	1	14.192355775	14.772896002	2891.6	11602.4	HOWA-chip
7	Spectrogram 1	1	16.502164765	17.342095307	1988.0	11349.4	HOWA-chip
8	Spectrogram 1	1	18.772513605	19.427165351	1481.9	11891.6	HOWA-chip
9	Spectrogram 1	1	20.044761338	20.773524602	2602.4	12975.9	HOWA-chip
10	Spectrogram 1	1	23.108037432	23.947967974	2168.7	12433.7	HOWA-chip
11	Spectrogram 1	1	24.997881151	25.850163613	1590.4	11602.4	HOWA-chip
12	Spectrogram 1	1	27.999397646	28.802272429	1120.5	10192.8	HOWA-chip
13	Spectrogram 1	1	30.408021995	31.532046690	1771.1	11674.7	HOWA-chip
14	Spectrogram 1	1	31.359119814	32.754886744	1626.5	10771.1	HOWA-chip
15	Spectrogram 1	1	34.341789452	35.404054549	3000.0	10409.6	HOWA-chip
16	Spectrogram 1	1	35.317591111	36.342800449	2530.1	9542.2	HOWA-chip
17	Spectrogram 1	1	37.368009787	38.195588409	2457.8	10301.2	HOWA-chip
18	Spectrogram 1	1	38.232644168	39.121982389	2963.9	10084.3	HOWA-chip
19	Spectrogram 1	1	39.838393734	40.727731954	2566.3	10084.3	HOWA-chip
20	Spectrogram 1	1	41.505902898	42.247018082	2313.3	11241.0	HOWA-chip
21	Spectrogram 1	1	42.975781346	43.988638764	2385.5	10807.2	HOWA-chip
22	Spectrogram 1	1	45.137367300	46.100817039	2747.0	11096.4	HOWA-chip
23	Spectrogram 1	1	47.348168082	48.126339025	3542.2	10988.0	HOWA-chip
24	Spectrogram 1	1	48.237506303	48.978621487	3253.0	11349.4	HOWA-chip
25	Spectrogram 1	1	49.485050196	50.510259534	3108.4	10988.0	HOWA-chip
26	Spectrogram 1	1	51.066095922	51.733099587	2421.7	10481.9	HOWA-chip
