Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	0.700808021	0.996461404	3531.5	7423.4	HOWA-chip
2	Spectrogram 1	1	2.759431582	3.137210905	3516.4	7568.0	HOWA-chip
3	Spectrogram 1	1	4.790679829	5.206784591	3720.3	7644.4	HOWA-chip
4	Spectrogram 1	1	6.727937191	7.193317517	3567.4	8587.2	HOWA-chip
5	Spectrogram 1	1	7.998151729	8.447106867	3694.8	7644.4	HOWA-chip
6	Spectrogram 1	1	9.821347595	10.100575791	3669.3	7593.4	HOWA-chip
7	Spectrogram 1	1	10.806858874	11.151787822	4077.0	7924.7	HOWA-chip
8	Spectrogram 1	1	12.457885153	12.791863976	2650.1	8893.0	HOWA-chip
9	Spectrogram 1	1	13.821175756	14.412482524	2828.4	8587.2	HOWA-chip
10	Spectrogram 1	1	15.425369116	15.961925257	2955.8	9224.2	HOWA-chip
11	Spectrogram 1	1	16.804170087	17.461177606	2497.2	8510.8	HOWA-chip
12	Spectrogram 1	1	18.167460690	18.649266204	3287.1	8205.0	HOWA-chip
13	Spectrogram 1	1	19.705953298	20.368435880	3108.7	8434.3	HOWA-chip
14	Spectrogram 1	1	21.545574352	22.000004553	2879.4	8714.6	HOWA-chip
15	Spectrogram 1	1	22.950740117	23.662498263	3287.1	7975.7	HOWA-chip
16	Spectrogram 1	1	24.341406033	24.845111798	3898.6	8179.5	HOWA-chip
17	Spectrogram 1	1	25.918224080	26.476680471	3236.1	8536.2	HOWA-chip
18	Spectrogram 1	1	27.297939871	27.703094508	2981.3	8052.1	HOWA-chip
19	Spectrogram 1	1	28.850323821	29.348554523	3490.9	7899.2	HOWA-chip
20	Spectrogram 1	1	30.459992244	30.903472319	2777.5	7899.2	HOWA-chip
21	Spectrogram 1	1	31.943734225	32.436489865	2981.3	8281.4	HOWA-chip
22	Spectrogram 1	1	33.171509159	33.554763545	3287.1	8281.4	HOWA-chip
23	Spectrogram 1	1	35.640762419	36.166368435	3159.7	7924.7	HOWA-chip
24	Spectrogram 1	1	37.146780847	37.606686110	3250.8	7576.6	HOWA-chip
25	Spectrogram 1	1	38.652423079	38.926176212	3506.7	8062.9	HOWA-chip
26	Spectrogram 1	1	41.122408947	41.735615965	3327.6	8728.4	HOWA-chip
27	Spectrogram 1	1	44.516947797	44.845451557	3711.5	8318.9	HOWA-chip
28	Spectrogram 1	1	46.886805665	47.352185991	3097.2	8677.3	HOWA-chip
29	Spectrogram 1	1	48.447198523	48.852353160	2994.8	8395.7	HOWA-chip
