Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	0.749544549	2.746230447	996.2	9165.4	HOWA-song-B
2	Spectrogram 1	1	5.775902111	7.426159856	1527.6	8733.7	HOWA-song-B
3	Spectrogram 1	1	12.029408225	13.736354214	1560.8	7604.6	HOWA-song-B
4	Spectrogram 1	1	18.335493027	20.376269781	1328.3	8733.7	HOWA-song-B
5	Spectrogram 1	1	22.946621430	25.025190346	963.0	8434.8	HOWA-song-B
6	Spectrogram 1	1	35.371023704	37.266930504	1162.3	9032.5	HOWA-song-B
7	Spectrogram 1	1	40.246891039	41.966434416	1627.2	8268.8	HOWA-song-B
8	Spectrogram 1	1	45.065391710	46.847922023	1594.0	8899.7	HOWA-song-B
9	Spectrogram 1	1	49.823190003	51.687603334	1627.2	8135.9	HOWA-song-B
10	Spectrogram 1	1	54.395410106	56.045667852	1461.1	8600.8	HOWA-song-B
11	Spectrogram 1	1	59.422079261	61.192012187	1328.3	7604.6	HOWA-song-B
12	Spectrogram 1	1	64.100839985	65.845578136	1394.7	8102.7	HOWA-song-B
13	Spectrogram 1	1	68.803068861	70.365144896	863.4	7372.1	HOWA-song-B
14	Spectrogram 1	1	73.218282792	75.051202655	1693.6	8534.4	HOWA-song-B
