Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	9.703540158	11.027702418	1009.0	24000.0	HOWA-song-B
2	Spectrogram 1	1	35.210551493	36.639845728	713.5	18652.3	HOWA-song-B
3	Spectrogram 1	1	44.514728152	45.931506676	1274.1	15084.9	HOWA-song-B
4	Spectrogram 1	1	53.883986603	55.143067164	2089.5	24000.0	HOWA-song-B
5	Spectrogram 1	1	80.750797866	82.533035161	764.4	13861.8	HOWA-song-B
6	Spectrogram 1	1	82.513010023	83.652533584	1885.6	9784.8	HOWA-song-B
7	Spectrogram 1	1	85.922437219	87.441844576	1427.0	16970.6	HOWA-song-B
8	Spectrogram 1	1	94.506595744	96.221248198	1579.8	24000.0	HOWA-song-B
9	Spectrogram 1	1	102.454270554	103.858533367	1783.7	18550.4	HOWA-song-B
10	Spectrogram 1	1	109.785164210	111.104320185	968.3	19111.0	HOWA-song-B
11	Spectrogram 1	1	125.635671685	126.797129697	968.3	20537.9	HOWA-song-B
