Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	0.095337771	0.512440521	3741.2	7151.4	HOWA-chip
2	Spectrogram 1	1	1.632659334	2.145099855	3741.2	7548.6	HOWA-chip
3	Spectrogram 1	1	3.896931403	4.349785816	4204.7	7217.6	HOWA-chip
4	Spectrogram 1	1	5.636845729	6.113534586	3741.2	7217.6	HOWA-chip
5	Spectrogram 1	1	7.627021706	8.056041676	4138.5	7283.8	HOWA-chip
6	Spectrogram 1	1	9.018570199	9.382045452	3476.4	7979.1	HOWA-chip
7	Spectrogram 1	1	10.567808982	10.943201457	3608.8	7515.5	HOWA-chip
8	Spectrogram 1	1	12.385185248	12.671198562	4006.1	7614.9	HOWA-chip
9	Spectrogram 1	1	14.331819455	14.588039715	3575.7	7780.4	HOWA-chip
10	Spectrogram 1	1	16.006189063	16.357747095	3443.2	7945.9	HOWA-chip
11	Spectrogram 1	1	18.002323650	18.330047239	3906.8	8210.8	HOWA-chip
