Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	0.365694422	1.775600629	2191.7	8169.1	HOWA-song-B
2	Spectrogram 1	1	3.604072740	5.040414688	1660.4	8434.8	HOWA-song-B
3	Spectrogram 1	1	6.987481756	8.432635617	1959.3	6874.0	HOWA-song-B
4	Spectrogram 1	1	13.522478593	14.804612050	1826.4	8069.5	HOWA-song-B
5	Spectrogram 1	1	21.756857725	23.290130725	1494.4	7172.9	HOWA-song-B
6	Spectrogram 1	1	23.858656544	25.149601915	2058.9	6973.6	HOWA-song-B
8	Spectrogram 1	1	34.799891704	36.175935133	1892.8	8999.3	HOWA-song-B
9	Spectrogram 1	1	36.704649960	38.220299132	1029.4	7405.3	HOWA-song-B
10	Spectrogram 1	1	36.202370874	36.506381900	2789.5	9364.6	HOWA-chip
11	Spectrogram 1	1	38.251140831	38.594805469	1992.5	9098.9	HOWA-chip
12	Spectrogram 1	1	23.490050733	23.824903457	2789.5	10493.7	HOWA-chip
13	Spectrogram 1	1	10.739150822	11.148904814	1926.1	11025.0	HOWA-chip
14	Spectrogram 1	1	12.959753098	13.329853477	2158.5	10626.5	HOWA-chip
