Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	2.196281901	3.814183514	843.6	5905.1	HOWA-song-A
2	Spectrogram 1	1	4.986575988	6.409078856	843.6	6158.2	HOWA-song-A
3	Spectrogram 1	1	8.660072406	10.395213267	801.4	6411.2	HOWA-song-A
4	Spectrogram 1	1	14.945565839	16.430596305	674.9	6959.6	HOWA-song-A
5	Spectrogram 1	1	18.798829102	20.150988422	1434.1	6326.9	HOWA-song-A
6	Spectrogram 1	1	22.946450870	24.368953738	970.1	6158.2	HOWA-song-A
7	Spectrogram 1	1	30.584912802	32.132470867	843.6	7043.9	HOWA-song-A
8	Spectrogram 1	1	38.827161573	40.429431287	1054.5	6580.0	HOWA-song-A
9	Spectrogram 1	1	45.375448760	46.829215427	632.7	6411.2	HOWA-song-A
10	Spectrogram 1	1	53.136725535	54.903130195	843.6	6200.4	HOWA-song-A
11	Spectrogram 1	1	64.058130678	65.730743941	885.8	5905.1	HOWA-song-A
